"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"100.49883997824942","0.5","interacts with","ANLN (interacts with) FOXM1","false","interacts with","ANLN (interacts with) FOXM1","0.8469"
"9.313445686280662","0.5","interacts with","NEK2 (interacts with) TRIP13","false","interacts with","NEK2 (interacts with) TRIP13","0.8572"
"15.357700101317123","0.25","interacts with","CPA1 (interacts with) GSTA2","false","interacts with","CPA1 (interacts with) GSTA2","0.8266"
"124.4342788644477","0.5","interacts with","NEK2 (interacts with) UBE2C","false","interacts with","NEK2 (interacts with) UBE2C","0.8447"
"15.661296859169198","0.25","interacts with","CPA1 (interacts with) REG1B","false","interacts with","CPA1 (interacts with) REG1B","0.8627"
"159.9902399980586","0.5","interacts with","ANLN (interacts with) KIAA1524","false","interacts with","ANLN (interacts with) KIAA1524","0.8171"
"22.01798115979604","0.25","interacts with","NEUROD1 (interacts with) PCSK1","false","interacts with","NEUROD1 (interacts with) PCSK1","0.8252"
"17.739868287740627",,"interacts with","CPA1 (interacts with) REG1P","false","interacts with","CPA1 (interacts with) REG1P","0.8652"
"63.58567115481816","0.3333333432674408","interacts with","NEUROD1 (interacts with) SCG5","false","interacts with","NEUROD1 (interacts with) SCG5","0.8536"
"118.00275622159688","0.5","interacts with","ANLN (interacts with) KIF14","false","interacts with","ANLN (interacts with) KIF14","0.8915"
"14.489868287740626","0.25","interacts with","CPA1 (interacts with) REG3A","false","interacts with","CPA1 (interacts with) REG3A","0.8285"
"129.51722762798633","0.3333333432674408","interacts with","NEUROD1 (interacts with) SCGN","false","interacts with","NEUROD1 (interacts with) SCGN","0.8982"
"127.74932918878955","0.5","interacts with","ANLN (interacts with) KIF4A","false","interacts with","ANLN (interacts with) KIF4A","0.898"
"16.02375886524822","0.25","interacts with","CPA2 (interacts with) GSTA2","false","interacts with","CPA2 (interacts with) GSTA2","0.8232"
"119.2123973727422","0.3333333432674408","interacts with","NEUROD1 (interacts with) TTR","false","interacts with","NEUROD1 (interacts with) TTR","0.8623"
"14.996296859169199","0.3333333432674408","interacts with","CPA2 (interacts with) REG1B","false","interacts with","CPA2 (interacts with) REG1B","0.9163"
"139.13607101506864","0.3333333432674408","interacts with","NOL4 (interacts with) SCGN","false","interacts with","NOL4 (interacts with) SCGN","0.8452"
"128.82803796989523","0.5","interacts with","ANLN (interacts with) NEK2","false","interacts with","ANLN (interacts with) NEK2","0.8612"
"17.07486828774063",,"interacts with","CPA2 (interacts with) REG1P","false","interacts with","CPA2 (interacts with) REG1P","0.9224"
"18.79087839092231","0.25","interacts with","NOL4 (interacts with) SLC4A10","false","interacts with","NOL4 (interacts with) SLC4A10","0.8386"
"13.27209050996285","0.3333333432674408","interacts with","CPA2 (interacts with) REG3A","false","interacts with","CPA2 (interacts with) REG3A","0.8919"
"74.91873125709034","0.5","interacts with","ANLN (interacts with) PRC1","false","interacts with","ANLN (interacts with) PRC1","0.8696"
"15.963797313797315","0.3333333432674408","interacts with","NOX4 (interacts with) RUNX2","false","interacts with","NOX4 (interacts with) RUNX2","0.8618"
"9.984947652819994",,"interacts with","CPA2 (interacts with) REG3G","false","interacts with","CPA2 (interacts with) REG3G","0.85"
"28.207692307692305","0.25","interacts with","NOX4 (interacts with) SUGCT","false","interacts with","NOX4 (interacts with) SUGCT","0.8437"
"97.46951885364518","0.5","interacts with","ANLN (interacts with) RAD51AP1","false","interacts with","ANLN (interacts with) RAD51AP1","0.8507"
"18.906666666666666",,"interacts with","CPB1 (interacts with) REG1B","false","interacts with","CPB1 (interacts with) REG1B","0.8901"
"48.0","0.3333333432674408","interacts with","NQO1 (interacts with) RHBDL2","false","interacts with","NQO1 (interacts with) RHBDL2","0.8383"
"81.22207818693447","0.5","interacts with","ANLN (interacts with) TRIP13","false","interacts with","ANLN (interacts with) TRIP13","0.8521"
"23.09714285714285",,"interacts with","CPB1 (interacts with) REG1P","false","interacts with","CPB1 (interacts with) REG1P","0.8882"
"7.266887460687408","0.3333333432674408","interacts with","ANLN (interacts with) UBE2C","false","interacts with","ANLN (interacts with) UBE2C","0.8787"
"16.862857142857145",,"interacts with","CPB1 (interacts with) REG3A","false","interacts with","CPB1 (interacts with) REG3A","0.865"
"21.082040998217472","0.25","interacts with","CTHRC1 (interacts with) HSD17B6","false","interacts with","CTHRC1 (interacts with) HSD17B6","0.8247"
"142.412233949571","0.3333333432674408","interacts with","ANLN (interacts with) UBE2T","false","interacts with","ANLN (interacts with) UBE2T","0.8126"
"59.7394776791836","0.25","interacts with","CTHRC1 (interacts with) ITGA11","false","interacts with","CTHRC1 (interacts with) ITGA11","0.899"
